BIC,Charge
ADDBINBBXXX,19
IRVTUS3NXXX,14
BENDAU3BXXX,18
BNPAFRPPXXX,18
FVLBNL22XXX,20
CICIFRPPXXX,12
CCBPFRPPXXX,13
RABOCHGGXXX,18
SGBLAU2SXXX,13
KNABNL2HXXX,16
MHCBJPJTXXX,15
ABNANL2AXXX,16
CMBCCNBSXXX,14
DEUTDEBBXXX,15
MMTOJPJTXXX,20
RBOSAU2SXXX,20
NATAAU3302S,16
BLKBCH22XXX,17
CRESCHZZXXX,11
BNPAGB22XXX,16
SCBLGB2LXXX,10
CRLYFRPPXXX,12
INDCCNSHXXX,11
UNIACNBJXXX,18
AGRIFRPPXXX,11
HSBCGB2LXXX,14
CHASJPJTXXX,11
CETCCNBJXXX,11
PSBCCNBJXXX,20
AGRNGB2LXXX,12
SBININBBFXD,15
NFBKUS33XXX,19
ZENJJPJTXXX,16
ANZBAU3MXXX,13
KKBKINBBXXX,17
BOTKJPJTXXX,15
SNSBNL2AXXX,15
RVSADE77XXX,20
ICBKJPJTXXX,13
BCVACH2LXXX,18
LLOYGB2LXXX,15
BARCGB22XXX,18
SMBCJPJTXXX,14
PNCINTNNXXX,19
NACNJPJTXXX,13
NWBKGB2LXXX,13
MARBDE6LXXX,18
CUSCAU2SXXX,20
INDBINBBBBI,10
ICICINBBCTS,20
WFBIUS6SXXX,15
ABOCCNBJXXX,10
BKCHCNBJXXX,12
BBVAFRPPXXX,17
CMADFRPPXXX,19
CALDFR21XXX,13
HYVEDEMMXXX,10
HELADEF1RRS,10
CORPINBBXXX,15
CIBCUS33XXX,10
GFSIUS4PXXX,12
HSBCAU2SXXX,20
UTIBINBBTCP,19
TRIONL2UXXX,19
BOFAUS3NXXX,12
BCVSCH2LXXX,15
BAFUCH22XXX,14
DRESDEFFXXX,18
UTIBINBBXXX,15
QSNWAU4BXXX,17
NWABNL2GXXX,15
CITIUS33XXX,10
CHASUS33XXX,14
MSKBJPJTXXX,20
HDFCINBBXXX,20
UBSWCHZH80A,17
CCBCCNBJXXX,13
USBKUS44XXX,18
BOCMCNBJXXX,17
GENODEFFXXX,13
RABONL2UXXX,17
RBOSGB2LXXX,11
ABBECHZZXXX,14
SOGEFRPPXXX,19
BKWAAU4SXXX,19
MIDLGB22XXX,13
MALADE51XXX,12
COBADEFFXXX,19
JPMCGB2LXXX,13
IDIBINBBTSY,17
WPACAU2SXXX,20
RBRBNL21XXX,16
SNNFJPJTXXX,17
ASNBNL21XXX,19
INGBNL2AXXX,14
PCBCCNBJXXX,20
CITIFRPPXXX,14
INGBDEFFXXX,18
